config,d_pct,c_pct,workload,P,fmax_mhz,eff_latency_ns,dpe_area_pct,fmax_seed1,fmax_seed2,fmax_seed3,status
512x128,60,60,fc_512_128,7,120.26933333333334,1.1878102164348587,37.333333333333336,126.84,117.753,116.215,OK (cached)
512x128,60,60,fc_512_512,7,131.60033333333334,1.085537849629126,37.333333333333336,133.252,134.988,126.561,OK (cached)
512x128,80,0,fc_2048_256,2,146.861,3.404579840801847,14.000000000000002,147.133,147.756,145.694,OK (cached)
512x128,80,0,fc_512_128,3,144.319,2.3096981917372856,14.000000000000002,143.69,145.183,144.084,OK (cached)
512x128,80,0,fc_512_512,3,136.24666666666667,2.44654303469198,14.000000000000002,141.448,134.51,132.782,OK (cached)
512x128,80,20,fc_2048_256,2,146.861,3.404579840801847,14.000000000000002,147.133,147.756,145.694,OK (cached)
512x128,80,20,fc_512_128,3,144.319,2.3096981917372856,14.000000000000002,143.69,145.183,144.084,OK (cached)
512x128,80,20,fc_512_512,3,136.24666666666667,2.44654303469198,14.000000000000002,141.448,134.51,132.782,OK (cached)
512x128,80,40,fc_2048_256,3,139.21,2.3944639992337717,28.000000000000004,139.473,137.407,140.75,OK (cached)
512x128,80,40,fc_512_128,3,137.67066666666668,2.4212371553368905,28.000000000000004,137.001,140.741,135.27,OK (cached)
512x128,80,40,fc_512_512,3,126.27866666666667,2.6396646570019744,28.000000000000004,130.85,121.599,126.387,OK (cached)
512x128,80,60,fc_2048_256,3,134.93366666666665,2.470349628582934,42.0,137.801,133.864,133.136,OK (cached)
512x128,80,60,fc_512_128,3,132.905,2.508057133541502,42.0,136.542,132.773,129.4,OK (cached)
512x128,80,60,fc_512_512,3,131.88766666666666,2.527403371050616,42.0,131.074,134.988,129.601,OK (cached)
512x256,0,20,fc_2048_256,2,137.495,3.6364958725771843,10.666666666666668,130.234,138.227,144.024,OK (cached)
512x256,0,20,fc_512_128,7,132.5653333333333,1.0776357533679712,10.666666666666668,136.123,130.564,131.009,OK (cached)
512x256,0,20,fc_512_512,4,132.71966666666665,1.8836695892846829,10.666666666666668,132.96,124.71,140.489,OK (cached)
512x256,0,40,fc_2048_256,2,135.94333333333336,3.6780030895225946,10.666666666666668,142.27,130.437,135.123,OK (cached)
512x256,0,40,fc_512_128,7,127.59066666666668,1.119651982306513,10.666666666666668,126.037,126.001,130.734,OK (cached)
512x256,0,40,fc_512_512,4,135.151,1.8497828354951127,10.666666666666668,135.431,130.841,139.181,OK (cached)
512x256,0,60,fc_2048_256,4,130.84133333333332,1.9107111921818793,21.333333333333336,132.636,138.197,121.691,OK (cached)
512x256,0,60,fc_512_128,7,126.77866666666667,1.126823199937499,21.333333333333336,127.267,122.498,130.571,OK (cached)
512x256,0,60,fc_512_512,7,136.63433333333333,1.045543527545367,21.333333333333336,135.764,137.213,136.926,OK (cached)
512x256,20,0,fc_2048_256,1,143.87333333333333,6.950558361521709,5.333333333333334,137.661,142.805,151.154,OK (cached)
512x256,20,0,fc_512_128,4,136.14666666666668,1.8362550190970521,5.333333333333334,141.785,137.711,128.944,OK (cached)
512x256,20,0,fc_512_512,2,141.42133333333334,3.5355344785322345,5.333333333333334,145.578,142.301,136.385,OK (cached)
512x256,20,20,fc_2048_256,3,141.11533333333333,2.362134046382864,16.0,139.011,139.894,144.441,OK (cached)
512x256,20,20,fc_512_128,7,126.57600000000001,1.1286274084908896,16.0,122.498,133.528,123.702,OK (cached)
512x256,20,20,fc_512_512,6,136.437,1.2215650202413322,16.0,131.567,142.805,134.939,OK (cached)
512x256,20,40,fc_2048_256,3,138.77966666666666,2.4018888453880134,16.0,137.877,135.295,143.167,OK (cached)
512x256,20,40,fc_512_128,7,128.744,1.1096217521371314,16.0,127.535,126.025,132.672,OK (cached)
512x256,20,40,fc_512_512,6,134.75199999999998,1.2368400221641733,16.0,142.478,130.652,131.126,OK (cached)
512x256,20,60,fc_2048_256,5,136.514,1.4650512035395635,26.666666666666668,131.874,142.077,135.591,OK (cached)
512x256,20,60,fc_512_128,7,129.90033333333335,1.0997442361488128,26.666666666666668,132.363,127.69,129.648,OK (cached)
512x256,20,60,fc_512_512,7,138.1303333333333,1.034219924108942,26.666666666666668,138.702,140.875,134.814,OK (cached)
512x256,40,0,fc_2048_256,2,137.69233333333332,3.6312842399843133,10.666666666666668,136.912,138.534,137.631,OK (cached)
512x256,40,0,fc_512_128,7,130.32000000000002,1.096202753661317,10.666666666666668,132.672,132.967,125.321,OK (cached)
512x256,40,0,fc_512_512,4,134.56733333333332,1.8578060054198395,10.666666666666668,136.268,133.542,133.892,OK (cached)
512x256,40,20,fc_2048_256,4,133.665,1.8703475105674636,21.333333333333336,128.495,137.045,135.455,OK (cached)
512x256,40,20,fc_512_128,7,129.77466666666666,1.1008091681258505,21.333333333333336,132.812,127.681,128.831,OK (cached)
512x256,40,20,fc_512_512,7,136.641,1.0454925158418253,21.333333333333336,126.421,141.785,141.717,OK (cached)
512x256,40,40,fc_2048_256,4,133.50133333333335,1.8726404730040147,21.333333333333336,126.377,135.455,138.672,OK (cached)
512x256,40,40,fc_512_128,7,128.87199999999999,1.1085196385339164,21.333333333333336,136.776,124.232,125.608,OK (cached)
512x256,40,40,fc_512_512,7,136.68366666666665,1.0451661587739784,21.333333333333336,137.711,135.926,136.414,OK (cached)
512x256,40,60,fc_2048_256,6,124.05533333333334,1.3434865087084795,32.0,123.953,125.437,122.776,OK (cached)
512x256,40,60,fc_512_128,7,125.85966666666667,1.1350510186515368,32.0,121.489,130.4,125.69,OK (cached)
512x256,40,60,fc_512_512,7,135.61633333333333,1.0533918691490667,32.0,134.063,146.43,126.356,OK (cached)
512x256,60,0,fc_2048_256,2,137.69233333333332,3.6312842399843133,10.666666666666668,136.912,138.534,137.631,OK (cached)
512x256,60,0,fc_512_128,7,130.32000000000002,1.096202753661317,10.666666666666668,132.672,132.967,125.321,OK (cached)
512x256,60,0,fc_512_512,4,134.56733333333332,1.8578060054198395,10.666666666666668,136.268,133.542,133.892,OK (cached)
512x256,60,20,fc_2048_256,4,133.665,1.8703475105674636,21.333333333333336,128.495,137.045,135.455,OK (cached)
512x256,60,20,fc_512_128,7,129.77466666666666,1.1008091681258505,21.333333333333336,132.812,127.681,128.831,OK (cached)
